1732389567.7470117, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 42278, 1900, 346
1732389567.7470117, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 42278, 1900, 344
1732389567.849018, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 42278, 1900, 356
1732389567.8500113, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 42278, 1900, 354
1732389568.0540113, UDP, a8:80:55:ef:95:09, ff:ff:ff:ff:ff:ff, 192.168.1.115, 255.255.255.255, 53813, 6667, 214
1732389568.156011, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 42278, 1900, 290
1732389568.1570203, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 42278, 1900, 279
1732389568.2590113, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 42278, 1900, 346
1732389568.2590113, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 42278, 1900, 344
1732389568.3610156, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 42278, 1900, 356
1732389568.3620112, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 42278, 1900, 354
1732389569.7271082, TCP, 12:02:71:fe:ea:29, 14:13:33:73:1a:5b, 13.107.246.254, 192.168.1.103, 443, 57727, 85
1732389569.7271082, TCP, 14:13:33:73:1a:5b, 12:02:71:fe:ea:29, 192.168.1.103, 13.107.246.254, 57727, 443, 54
1732389569.7271082, TCP, 12:02:71:fe:ea:29, 14:13:33:73:1a:5b, 13.107.246.254, 192.168.1.103, 443, 57727, 60
1732389569.7271082, TCP, 14:13:33:73:1a:5b, 12:02:71:fe:ea:29, 192.168.1.103, 13.107.246.254, 57727, 443, 54
1732389571.2281175, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50269, 1900, 290
1732389571.276108, TCP, 14:13:33:73:1a:5b, 12:02:71:fe:ea:29, 192.168.1.103, 37.244.16.152, 55058, 1119, 123
1732389571.3311176, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50269, 1900, 279
1732389571.3311176, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50269, 1900, 346
1732389571.332121, UDP, 4c:a9:19:75:fb:25, ff:ff:ff:ff:ff:ff, 192.168.1.114, 255.255.255.255, 49566, 6667, 214
1732389571.350109, TCP, 12:02:71:fe:ea:29, 14:13:33:73:1a:5b, 37.244.16.152, 192.168.1.103, 1119, 55058, 56
1732389571.4331174, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50269, 1900, 344
